ID,Departamento,Categoria_Planta,Tipo_Planta,Temperatura_C,Humedad_Relativa_pct,Horas_Luz_Solar,pH_Suelo,Tipo_Suelo,Fertilidad_Suelo,Crecimiento_cm_semana,Cond_Temperatura,Cond_Humedad,Cond_Luz_Solar,Cond_pH,Cond_Suelo,Cond_Fertilidad,Condiciones_Optimas_Total,Estado_Crecimiento
11,Tolima,Hortaliza,Lechuga,16.9,61.1,6.4,5.55,Franco-Arcilloso,Baja,54.13,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Excelente
12,Cauca,Cultivo Agrícola,Trigo,12.0,52.6,11.8,6.07,Arenoso,Media,51.06,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
13,Santander,Hortaliza,Tomate,18.5,45.3,9.1,5.66,Limoso,Alta,30.3,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Bueno
14,Córdoba,Cultivo Agrícola,Maíz,20.5,70.6,4.0,5.88,Arenoso,Baja,25.23,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Baja,3,Regular
15,Cesar,Cultivo Agrícola,Trigo,22.6,44.8,7.2,5.92,Franco,Media,22.68,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
16,Cundinamarca,Hortaliza,Pepino,36.0,58.3,13.8,6.03,Franco-Arcilloso,Media,11.65,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Malo
17,Cundinamarca,Cultivo Agrícola,Arroz,29.3,75.2,8.0,5.98,Arenoso,Media,47.57,Óptima,Óptima,Óptima,Óptima,No óptimo,Óptima,5,Bueno
18,Meta,Cultivo Agrícola,Sorgo,27.2,74.0,12.2,5.45,Arenoso,Baja,32.76,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Baja,2,Regular
19,Córdoba,Cultivo Agrícola,Frijol,12.4,60.6,6.0,7.11,Limoso,Alta,18.28,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
20,Boyacá,Hortaliza,Pimentón,32.3,83.9,7.3,7.15,Arcilloso,Alta,25.68,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
21,Valle del Cauca,Cultivo Agrícola,Arroz,40.9,98.4,8.0,6.71,Franco,Baja,29.52,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Baja,2,Malo
22,Cesar,Cultivo Agrícola,Maíz,29.4,39.6,5.5,7.25,Limoso,Media,44.12,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
23,Boyacá,Hortaliza,Pimentón,15.5,67.4,11.2,7.13,Franco,Baja,31.72,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
24,Huila,Planta Tropical,Café,27.1,79.6,6.5,4.73,Arenoso,Media,12.76,Fuera de rango,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,3,Regular
25,Cauca,Cultivo Agrícola,Sorgo,40.5,54.2,13.2,6.3,Franco-Arcilloso,Media,20.39,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
26,Cesar,Hortaliza,Cebolla,13.5,36.2,10.8,5.94,Limoso,Media,57.43,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
27,Boyacá,Cultivo Agrícola,Papa,20.4,92.7,7.0,5.79,Arenoso,Alta,35.08,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
28,Huila,Cultivo Agrícola,Papa,7.7,72.8,12.4,6.18,Arcilloso,Media,15.83,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
29,Magdalena,Planta Tropical,Yuca,37.9,75.7,11.3,6.61,Franco-Arcilloso,Media,56.89,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
30,Bolívar,Planta Tropical,Cacao,26.0,90.9,7.2,6.61,Limoso,Alta,27.32,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
31,Magdalena,Cultivo Agrícola,Arroz,27.0,85.2,6.0,4.89,Franco-Arcilloso,Alta,16.23,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
32,Cesar,Cultivo Agrícola,Maíz,33.9,49.9,12.7,6.14,Franco-Arcilloso,Baja,21.23,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
33,Valle del Cauca,Planta Tropical,Café,24.8,93.9,6.1,5.31,Franco,Media,7.45,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
34,Nariño,Planta Tropical,Plátano,31.8,62.3,12.2,6.11,Franco,Media,40.29,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
35,Nariño,Planta Tropical,Cacao,29.1,74.6,7.8,4.64,Arcilloso,Media,8.32,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
36,Nariño,Hortaliza,Zanahoria,9.9,82.8,9.6,6.19,Arcilloso,Alta,13.62,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
37,Bolívar,Cultivo Agrícola,Maíz,25.2,70.7,4.4,7.37,Limoso,Baja,44.73,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,3,Bueno
38,Cauca,Hortaliza,Cebolla,8.6,67.1,5.2,6.96,Arenoso,Alta,20.73,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
39,Santander,Cultivo Agrícola,Maíz,25.0,65.0,12.5,5.97,Franco,Media,13.34,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
40,Antioquia,Planta Tropical,Café,18.3,80.7,4.7,5.15,Limoso,Media,58.06,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
41,Boyacá,Cultivo Agrícola,Frijol,21.2,83.4,8.9,6.56,Arenoso,Alta,27.7,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,4,Bueno
42,Boyacá,Cultivo Agrícola,Trigo,11.7,67.4,11.7,6.1,Franco,Media,48.04,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
43,Cauca,Hortaliza,Tomate,31.7,59.5,5.1,7.72,Limoso,Media,28.2,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Bueno
44,Nariño,Cultivo Agrícola,Papa,17.3,72.7,5.9,6.85,Franco,Baja,27.94,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,3,Regular
45,Cauca,Planta Tropical,Cacao,35.9,57.5,7.9,6.14,Arenoso,Baja,17.46,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
46,Meta,Cultivo Agrícola,Sorgo,19.9,67.1,5.7,7.47,Arcilloso,Baja,6.1,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
47,Boyacá,Planta Tropical,Café,18.1,66.7,8.5,6.87,Franco,Media,45.0,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
48,Cesar,Planta Tropical,Cacao,24.5,95.8,2.9,5.98,Franco-Arcilloso,Media,9.48,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
49,Cundinamarca,Planta Tropical,Café,13.2,79.2,8.0,5.96,Franco,Media,30.09,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
50,Nariño,Planta Tropical,Caña de azúcar,40.4,75.6,7.9,5.13,Franco-Arcilloso,Alta,18.63,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
51,Sucre,Hortaliza,Pimentón,15.7,50.8,7.7,7.99,Arenoso,Alta,6.02,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,2,Malo
52,Sucre,Planta Tropical,Café,14.2,79.1,5.1,5.07,Limoso,Baja,19.42,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
53,Meta,Hortaliza,Pepino,20.2,65.6,10.4,5.68,Franco-Arcilloso,Alta,56.08,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
54,Antioquia,Cultivo Agrícola,Arroz,18.1,94.4,8.0,4.91,Franco,Alta,62.79,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
55,Antioquia,Hortaliza,Pepino,22.3,82.5,8.5,7.07,Franco,Alta,59.77,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
56,Sucre,Cultivo Agrícola,Papa,16.2,83.4,12.5,6.59,Franco,Baja,12.5,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,3,Bueno
57,Tolima,Hortaliza,Tomate,25.3,51.4,11.0,6.85,Limoso,Baja,48.9,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
58,Bolívar,Hortaliza,Pimentón,30.7,67.6,10.0,7.69,Franco,Media,9.71,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
59,Antioquia,Hortaliza,Zanahoria,26.3,72.0,10.4,7.26,Limoso,Alta,17.83,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Malo
60,Nariño,Cultivo Agrícola,Arroz,24.7,78.1,10.1,5.49,Arcilloso,Alta,55.53,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
61,Antioquia,Planta Tropical,Yuca,39.2,62.1,7.3,5.88,Arcilloso,Media,21.44,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
62,Córdoba,Hortaliza,Zanahoria,11.8,46.4,5.2,5.35,Limoso,Baja,3.44,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
63,Cauca,Cultivo Agrícola,Papa,15.3,93.7,9.4,4.9,Franco-Arcilloso,Baja,35.17,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
64,Magdalena,Cultivo Agrícola,Trigo,17.1,41.3,8.3,6.76,Franco-Arcilloso,Media,61.29,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
65,Cundinamarca,Hortaliza,Zanahoria,20.3,47.8,7.0,5.01,Limoso,Alta,35.85,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
66,Tolima,Hortaliza,Lechuga,19.6,53.4,6.7,6.99,Arenoso,Baja,43.45,Óptima,Óptima,Óptima,Óptima,No óptimo,Baja,4,Bueno
67,Sucre,Hortaliza,Lechuga,22.5,36.5,9.9,6.21,Arenoso,Baja,6.64,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
68,Magdalena,Hortaliza,Pepino,18.7,61.4,6.1,7.23,Limoso,Media,39.1,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
69,Magdalena,Hortaliza,Tomate,22.6,69.2,11.6,6.67,Franco,Media,58.43,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
70,Huila,Cultivo Agrícola,Arroz,22.1,77.4,6.0,6.83,Franco-Arcilloso,Baja,22.9,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Regular
71,Valle del Cauca,Hortaliza,Cebolla,10.7,44.3,7.6,5.93,Franco,Baja,3.97,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Baja,2,Malo
72,Valle del Cauca,Hortaliza,Pepino,24.8,81.1,12.4,6.8,Arenoso,Media,52.06,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
73,Cundinamarca,Cultivo Agrícola,Trigo,10.5,47.8,8.8,6.77,Franco,Media,41.92,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Bueno
74,Magdalena,Planta Tropical,Palma,37.6,69.4,10.3,5.11,Arcilloso,Media,48.87,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
75,Córdoba,Hortaliza,Tomate,27.1,44.4,6.2,5.01,Franco,Media,10.7,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
76,Valle del Cauca,Cultivo Agrícola,Trigo,25.9,83.1,6.1,7.33,Franco,Baja,5.53,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
77,Cesar,Planta Tropical,Café,24.7,52.2,8.3,6.57,Franco-Arcilloso,Baja,4.04,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
78,Cundinamarca,Hortaliza,Lechuga,17.5,52.9,10.0,6.28,Arenoso,Media,48.46,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
79,Valle del Cauca,Hortaliza,Zanahoria,21.7,57.8,7.1,6.33,Franco-Arcilloso,Alta,31.6,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
80,Huila,Planta Tropical,Café,24.2,57.5,9.0,5.74,Arenoso,Alta,29.43,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Regular
81,Cundinamarca,Cultivo Agrícola,Trigo,24.7,37.9,6.8,7.29,Franco-Arcilloso,Alta,20.36,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
82,Antioquia,Hortaliza,Tomate,14.8,59.9,12.2,5.45,Limoso,Media,4.86,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
83,Huila,Cultivo Agrícola,Frijol,23.9,47.6,7.1,5.95,Arcilloso,Media,38.31,Óptima,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,3,Regular
84,Cauca,Planta Tropical,Caña de azúcar,38.8,52.7,5.9,5.77,Limoso,Media,19.9,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Malo
85,Valle del Cauca,Cultivo Agrícola,Frijol,29.4,36.2,9.9,7.43,Arcilloso,Baja,28.94,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Baja,2,Malo
86,Huila,Cultivo Agrícola,Maíz,16.7,89.2,11.6,5.31,Franco,Media,17.48,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
87,Sucre,Planta Tropical,Café,22.5,67.1,8.0,5.01,Franco,Baja,51.72,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Baja,4,Bueno
88,Santander,Cultivo Agrícola,Sorgo,26.0,45.8,11.6,6.36,Arenoso,Baja,9.43,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Baja,3,Regular
89,Cauca,Planta Tropical,Cacao,19.3,56.5,4.5,6.84,Arenoso,Media,44.44,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
90,Meta,Planta Tropical,Plátano,21.0,76.6,4.8,7.49,Franco,Media,17.17,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
91,Antioquia,Hortaliza,Pepino,14.8,68.6,10.1,5.16,Arenoso,Media,20.3,Fuera de rango,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,3,Regular
92,Antioquia,Cultivo Agrícola,Frijol,16.0,78.1,12.5,6.43,Arcilloso,Alta,21.4,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Regular
93,Córdoba,Hortaliza,Pimentón,31.1,60.4,10.0,6.13,Arenoso,Media,16.33,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
94,Boyacá,Cultivo Agrícola,Maíz,27.4,74.6,11.2,7.47,Arenoso,Alta,31.23,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
95,Meta,Hortaliza,Lechuga,12.4,79.8,3.1,5.67,Franco-Arcilloso,Baja,23.42,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
96,Nariño,Cultivo Agrícola,Maíz,33.6,53.8,6.3,5.95,Limoso,Alta,37.86,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
97,Córdoba,Planta Tropical,Plátano,26.7,71.8,12.5,6.91,Franco,Alta,16.35,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
98,Santander,Hortaliza,Pimentón,12.5,53.4,9.9,7.08,Franco,Baja,22.74,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
99,Huila,Hortaliza,Tomate,27.2,74.2,12.4,6.59,Arcilloso,Media,32.75,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
100,Cauca,Planta Tropical,Caña de azúcar,21.2,45.6,6.2,7.7,Arenoso,Media,7.64,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
101,Santander,Planta Tropical,Cacao,27.5,92.7,5.2,6.81,Arcilloso,Baja,40.5,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
102,Magdalena,Planta Tropical,Cacao,28.2,97.7,5.2,7.36,Franco-Arcilloso,Media,9.24,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
103,Nariño,Cultivo Agrícola,Papa,22.5,87.3,12.6,4.72,Franco,Alta,11.07,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
104,Cesar,Planta Tropical,Palma,30.6,75.7,5.7,4.23,Limoso,Media,6.12,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Regular
105,Cundinamarca,Planta Tropical,Caña de azúcar,25.0,50.0,13.3,5.41,Arcilloso,Media,27.46,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
106,Cauca,Planta Tropical,Café,23.1,84.2,7.8,6.09,Franco,Alta,20.86,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
107,Magdalena,Planta Tropical,Plátano,36.9,61.6,10.4,7.31,Arcilloso,Media,8.4,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
108,Antioquia,Hortaliza,Cebolla,9.7,56.1,12.2,7.36,Limoso,Alta,33.41,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
109,Santander,Planta Tropical,Cacao,16.7,81.8,3.8,4.86,Arcilloso,Alta,6.22,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Regular
110,Magdalena,Hortaliza,Zanahoria,26.7,66.9,9.3,6.84,Franco,Alta,49.12,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
111,Valle del Cauca,Cultivo Agrícola,Arroz,16.6,94.2,3.2,6.69,Franco-Arcilloso,Media,28.15,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
112,Cundinamarca,Planta Tropical,Caña de azúcar,40.6,87.3,8.8,6.26,Franco-Arcilloso,Alta,15.07,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
113,Bolívar,Hortaliza,Lechuga,12.5,77.6,8.7,6.68,Franco,Alta,35.45,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
114,Antioquia,Planta Tropical,Caña de azúcar,39.9,88.9,7.3,6.77,Arenoso,Alta,13.88,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Regular
115,Santander,Cultivo Agrícola,Frijol,17.1,82.1,9.8,7.02,Franco-Arcilloso,Baja,11.68,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
116,Magdalena,Cultivo Agrícola,Papa,22.2,85.0,9.7,4.88,Franco,Alta,41.47,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Bueno
117,Córdoba,Planta Tropical,Yuca,28.9,62.0,14.0,7.19,Arenoso,Baja,6.32,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Baja,2,Malo
118,Santander,Planta Tropical,Plátano,18.9,94.1,4.3,5.82,Franco,Media,19.96,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
119,Meta,Hortaliza,Zanahoria,9.1,74.8,4.4,6.33,Franco-Arcilloso,Baja,30.89,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
120,Cauca,Planta Tropical,Café,23.9,75.5,4.1,6.7,Arenoso,Alta,52.2,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
121,Tolima,Hortaliza,Cebolla,23.3,76.9,11.3,7.2,Arenoso,Alta,5.86,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
122,Tolima,Planta Tropical,Palma,22.8,95.9,5.0,5.67,Franco-Arcilloso,Media,12.58,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
123,Meta,Hortaliza,Tomate,25.6,89.1,10.7,5.78,Limoso,Baja,45.95,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
124,Boyacá,Planta Tropical,Yuca,26.8,81.2,8.5,5.04,Franco-Arcilloso,Baja,16.25,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
125,Huila,Cultivo Agrícola,Frijol,13.5,50.0,10.4,5.67,Arcilloso,Media,24.28,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
126,Huila,Hortaliza,Zanahoria,30.3,77.5,5.0,6.9,Franco-Arcilloso,Baja,20.18,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
127,Sucre,Planta Tropical,Palma,32.3,75.1,7.5,6.99,Franco,Baja,45.39,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Bueno
128,Meta,Cultivo Agrícola,Arroz,35.3,65.4,4.2,6.67,Limoso,Baja,11.67,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
129,Cauca,Hortaliza,Cebolla,26.7,83.2,11.8,6.61,Arenoso,Media,10.15,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
130,Cundinamarca,Hortaliza,Pepino,28.3,63.4,12.8,6.18,Limoso,Baja,12.42,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Baja,4,Bueno
131,Cauca,Planta Tropical,Café,25.6,88.0,8.1,6.07,Limoso,Baja,12.86,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Regular
132,Córdoba,Planta Tropical,Plátano,22.0,79.7,4.6,6.45,Franco-Arcilloso,Media,26.36,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
133,Cundinamarca,Hortaliza,Tomate,15.3,63.2,11.1,6.19,Arenoso,Media,15.67,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
134,Córdoba,Planta Tropical,Caña de azúcar,40.7,52.8,9.5,6.85,Limoso,Media,7.74,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
135,Tolima,Cultivo Agrícola,Maíz,26.4,39.8,7.2,5.08,Limoso,Media,44.2,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
136,Huila,Hortaliza,Pimentón,30.1,42.1,11.0,7.88,Franco-Arcilloso,Media,25.12,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
137,Boyacá,Planta Tropical,Plátano,19.0,81.7,10.4,7.18,Arcilloso,Media,6.5,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
138,Cesar,Hortaliza,Cebolla,19.6,75.9,9.1,7.11,Franco,Baja,10.49,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
139,Meta,Planta Tropical,Caña de azúcar,22.2,53.8,12.8,5.66,Limoso,Alta,35.09,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
140,Magdalena,Hortaliza,Pimentón,12.5,72.7,8.0,6.86,Arenoso,Media,31.04,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
141,Nariño,Hortaliza,Zanahoria,14.7,63.1,10.9,6.82,Franco-Arcilloso,Alta,52.79,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
142,Antioquia,Hortaliza,Pimentón,31.1,68.9,8.9,7.31,Limoso,Alta,54.74,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Bueno
143,Nariño,Planta Tropical,Cacao,21.5,81.7,9.3,5.13,Franco-Arcilloso,Media,42.32,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
144,Meta,Hortaliza,Cebolla,20.8,66.6,8.4,6.78,Franco-Arcilloso,Alta,44.97,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
